BTG;-1.607.514.375;-8.610;3.744,63
UBS;-819.869.877;-4.380;3.750,68
Santander;-471.144.626;-2.520;3.747,43
Goldman;-303.835.500;-1.625;3.749,69
BGC Liquidez;-279.546.750;-1.500;3.744,90
Guide;-234.657.499;-1.270;3.741,05
Concórdia;-142.900.000;-760;3.746,34
Genial;-122.327.375;-655;3.745,00
XP;-116.537.624;-630;3.748,74
Terra;-54.371.000;-285;3.751,74
Morgan;-52.379.374;-285;3.746,02
Intl;-12.256.250;-65;3.771,15
Fator;-942.500;-5;3.770,00
Clear;538.250;5;3.749,72
Mirae;940.500;5;3.760,55
Planner;3.716.375;20;3.748,19
Rico;4.811.125;25;3.752,74
Modal;17.217.625;90;3.750,82
Agora;17.855.750;95;3.736,11
Coinvalores;20.602.500;110;3.754,23
Socopa;54.145.625;290;3.747,98
Credit;78.572.875;430;3.740,65
Merrill;88.891.750;475;3.735,58
Nova Futura;89.696.125;480;3.746,82
Citigroup;96.335.625;515;3.744,61
H.commcor;113.435.500;605;3.750,46
Tullett;168.380.626;910;3.747,88
Capital;242.102.748;1.290;3.743,84
Renascença;243.724.125;1.300;3.751,20
JP Morgan;514.325.000;2.765;3.747,72
Ativa;527.298.874;2.810;3.748,05
Itaú;852.736.127;4.565;3.747,91
Bradesco;1.082.955.625;5.805;3.746,33
